,ID,Keywords,emb_2d_0,emb_2d_1,borders
0,0,"gauge theory,quantum gravity",12.697357,0.39939848,"4.2855,7.9722543 3.8626096,7.8197637 4.288308,7.8325615 4.463878,7.959992"
1,1,"hilbert space,banach algebra",10.081392,2.3431108,"3.359128,7.8239093 3.4185886,7.7460556 3.5175254,7.7091794 3.607163,7.718929 3.6627085,7.872337 3.6557586,7.9424763 3.4522884,7.9102683 3.3981454,7.867575"
2,2,"galerkin method,discontinuous galerkin",10.597466,7.265854,"2.9312212,7.8591776 3.0347795,7.9194303 2.9632208,7.9919596 2.8234932,8.024061 2.6264749,8.067833 2.5800326,8.048514 2.6569588,7.8931293 2.7696266,7.874699"
3,3,"mathematics education,mathematics teach",1.2385328,7.943458,"2.071932,8.221897 2.250787,8.204028 2.1691754,8.330573 2.1333346,8.373394 2.0827413,8.413598 2.0094533,8.372966 1.9910088,8.341913 1.967977,8.302262 1.9762644,8.294938"
4,4,"graphs,uniform hypergraphs",6.2099047,1.5630511,"1.7339549,7.947689 2.5852847,7.0818195 2.6697636,7.115091 2.689623,7.1265025 2.7576952,7.192809 2.768359,7.2761016 2.571737,7.665771 2.4879825,7.762929 2.3108997,7.9653788 2.2514715,8.016207 2.197282,8.044989 1.9255648,8.049679"
5,5,"signless laplacian,fractional laplacian",11.707005,3.9302487,"12.215933,1.6904098 12.014525,1.6403068 11.682958,0.530643 11.64941,0.3087981 11.964872,-0.0007646343 12.810052,-0.11936461 13.14572,-0.15569349 13.236271,-0.13239124 13.290793,-0.10996798 13.361193,-0.07363706 13.454181,0.12918092 13.462633,0.86942464 13.428316,0.9048884 12.449328,1.5816607 12.286178,1.6733192"
6,6,"eisenstein series,legendre polynomial",8.605374,1.7165232,"7.794937,0.83451444 7.8195763,0.9470019 7.5805845,1.1393301 7.5725284,1.141326 7.6505556,0.94075334 7.6748095,0.90515476 7.7171702,0.8650816 7.7263594,0.8569114 7.7773046,0.8400122"
7,7,"soliton solution,wave solution",13.124814,4.9188237,"1.6051217,7.32679 1.4586713,7.19256 1.5215808,7.0878186 1.6093007,7.1748204"
8,8,"elasticity,linear elastic",9.513203,8.964552,"1.5401403,7.421078 1.6411215,7.7470927 1.633652,7.928055 1.6015785,8.002178 1.4423032,8.0859785 1.304001,8.131726 1.2017368,8.079795 1.1524879,8.045115 1.0978329,8.001429 1.0584615,7.926376 1.2114186,7.7118545 1.4653639,7.458017"
9,9,"projective variety,smooth projective",10.902098,0.6963505,"1.6194313,7.480101 1.6085242,7.3748655 1.6385577,7.2980466 1.8306155,7.1744018 1.9310828,7.1392374 1.9675508,7.150266 2.0307071,7.2677345 1.8910537,7.562784 1.857415,7.6094904 1.7955838,7.5848374"
10,10,"ricci curvature,riemannian manifold",11.583113,2.0653527,"4.6858883,6.2841725 4.7222466,6.3049664 4.60362,6.4886856 4.566959,6.5436373 4.2248354,6.732562 4.229156,6.665365 4.2902718,6.569774 4.4816084,6.324593"
11,11,"academic achievement,student thinking",2.441017,7.534603,"7.583299,3.2014236 7.5372148,3.0336194 7.610828,2.9104984 7.8155107,2.7265792 8.231654,2.587656 8.237766,2.6227992 8.141107,3.0848331 8.00951,3.1950746 7.928495,3.2177155"
12,12,"lie algebra,symmetry algebra",10.221542,-0.17773235,"6.321642,4.001583 6.4611835,4.271016 6.338074,4.3399057 6.052441,4.242032 6.087771,4.1739593 6.1922054,4.0258203"
13,13,"linear programming,dynamic programming",6.4034863,5.2245097,"7.564716,8.519881 7.4002223,8.3687315 7.6268992,8.448247 7.738812,8.560399 7.7407727,8.577525"
14,14,"statistical inference,likelihood estimation",5.867562,6.901643,"8.455364,-0.023131413 8.550974,-0.25868523 8.566969,-0.28693795 8.580711,-0.30438736 8.849675,-0.20525126 8.850651,-0.1651116 8.834106,-0.0824037 8.787451,-0.04407927 8.644937,-0.015725678"
15,15,"fractional differential,fractional diffusion",11.135127,5.9985523,"6.8759284,1.4392468 6.874401,1.4115754 6.944399,1.3338313 7.026633,1.2444075 7.1013775,1.2437592 7.1326947,1.295616 7.123611,1.3493123 7.100543,1.4050636 6.983071,1.4629887"
16,16,"educational technology,student thinking",1.9374017,7.155972,"7.0147133,8.491202 7.2140303,8.5826645 7.140782,8.738417 6.7726893,8.916681 6.776854,8.697149 6.8259187,8.600516 6.854791,8.577376"
17,17,"dihedral group,groups",9.236918,0.30587867,"6.5491605,7.979741 6.198944,8.360994 6.080202,8.387569 6.0233464,8.268625 6.032872,8.185862 6.155371,7.472528 6.301605,7.3276234 6.397862,7.3011985 6.4912205,7.6960697"
18,18,"lyapunov function,feedback stabilization",9.237122,6.0098677,"5.6214314,9.420185 5.522009,9.387374 5.532448,9.306636 5.5788736,9.18774 5.599663,9.16756 5.6134744,9.160811 5.67661,9.223633 5.7017426,9.29413"
19,19,"deep learning,learning ml",7.5228314,6.2844,"5.214777,8.030722 5.3260922,8.0652895 5.545563,8.636129 5.5680704,8.699384 5.4611464,8.687977 5.196608,8.379337 5.0574527,8.141909 5.089274,8.040441 5.111113,8.031898 5.119726,8.031747"
20,20,"algebraic structure,modules",9.553877,-0.56090736,"5.7004337,8.9906645 5.6377673,8.8471365 5.6410913,8.82151 5.682185,8.736379 6.1003013,8.708073 6.1084933,8.718831 6.1262445,9.015526 5.88811,9.044437"
21,21,"classifier,machine learning",6.7528486,6.653966,"6.6553936,9.101791 6.662516,9.223612 6.6474237,9.307593 6.6077695,9.358684 6.483795,9.371497 6.250256,9.340621 6.2455297,9.334803 6.1922426,9.146193 6.2733803,9.00948 6.336815,8.934709 6.3939486,8.901834 6.4721513,8.8831415"
22,22,"viscous dissipation,weak solution",11.962584,5.5835376,"7.931181,1.664402 7.9570684,1.7450677 7.7843814,1.8963482 7.618666,2.0191526 7.545543,2.019431 7.6205244,1.8375243 7.7107573,1.6943251 7.766767,1.6641163"
23,23,"boundary conditionsin,boundary condition",11.595285,4.691927,"5.7336416,1.5295099 5.7201595,1.4427081 5.7686076,1.4426876 5.8850255,1.4961263 5.9805098,1.5785254 6.0020823,1.6074146 5.948148,1.6761683 5.882122,1.7111152"
24,24,"alloy,entropy alloy",9.411555,9.816136,"8.43166,3.4177911 8.873251,3.5545068 8.271004,4.029356 8.166055,3.993649 8.115429,3.9072032 8.151323,3.8334637"
25,25,"linear elastic,elastic modulus",9.102854,7.815857,"9.297908,4.2667646 9.347555,3.857256 9.525096,3.916778 9.586202,3.9698987 9.69719,4.088048 9.672974,4.1928663 9.402328,4.335645 9.319429,4.3122897"
26,26,"banach algebra,unital algebra",9.735387,1.2970784,"9.118774,3.574576 9.30814,3.726579 9.1959305,3.7509036 9.017179,3.7626877 8.838643,3.7079606 8.898312,3.6561844"
27,27,"bifurcation,hopf bifurcation",6.3065653,9.335712,"6.625922,1.8840094 6.302989,2.0552514 6.253252,2.035037 6.240779,2.0205693 6.168289,1.8634436 6.181718,1.7430454 6.217467,1.6257321 6.2635903,1.5946527 6.297866,1.5907854 6.4148126,1.629464 6.5807433,1.8142072"
28,28,"topological entropy,invariant manifold",10.812924,1.946613,"6.6254206,2.0505517 6.586697,1.9694582 6.6416345,1.9537302 6.67313,1.9572126 6.795701,2.0029562 6.870722,2.036905 6.8795614,2.0929537 6.8845625,2.1809828 6.8524075,2.1940105 6.722303,2.1945117"
29,29,"entanglement entropy,gaussian process",9.002029,3.01735,"8.71769,2.6206462 8.169825,1.4457905 8.226525,1.3098682 8.2454405,1.2953514 8.490415,1.1713163 8.567007,1.1376933 8.624735,1.1141634 9.347615,1.0043242 9.348153,1.121774 8.9814005,2.3912234 8.910483,2.6334133 8.786586,2.6438508"
30,30,"adjacency matrix,cayley graph",6.7787805,2.110398,"9.315259,3.2060633 9.24793,3.3420274 9.178437,3.3262079 8.8691845,3.2526648 8.782028,3.2140546 8.785939,3.1220098 8.856365,2.9798167 8.967847,2.9558277 9.145389,3.0371902 9.192578,3.082942"
31,31,"bifurcation,hopf bifurcation",10.91798,4.459945,"10.415961,0.45265839 10.597509,0.28788272 10.790913,0.31529146 11.05619,0.710126 11.065865,0.8200073 11.017094,0.9300034 10.604791,0.85956746 10.584714,0.8441896 10.443512,0.53248656"
32,32,"algebraic structure,envelop algebra",9.72518,0.13551113,"11.175089,2.5493617 11.274119,1.8104845 11.344937,1.7435219 11.513339,1.6634148 11.759131,1.7967501 11.767528,1.8240885 11.715361,1.980351 11.561356,2.3507316 11.28684,2.6245944 11.217232,2.6437705 11.196014,2.6304982"
33,33,"epidemic model,endemic equilibrium",5.7846622,8.963758,"5.137313,6.2061763 5.0581083,5.9577713 5.111614,5.8479567 5.1787653,5.746259 5.2827578,5.7398705 5.3192625,5.739685 5.4178886,5.815122 5.508048,6.1017985 5.3681664,6.222905"
34,34,"quantum computer,quantum physic",8.231381,3.8263583,"10.537892,1.9222348 10.607899,1.8075393 11.071956,1.9646546 11.140196,2.0735197 11.098779,2.0936022 10.95845,2.1509812 10.578215,2.0197663 10.542648,1.9854027"
35,35,"least squares,tikhonov regularization",8.5283165,5.4620767,"9.669925,1.4363759 9.652959,1.233602 9.714764,0.99621725 9.78376,0.83145154 9.821817,0.77834415 9.92264,0.69682294 9.942301,0.87716925 9.825704,1.3854959 9.74209,1.4915192 9.718678,1.4786435"
36,36,"crack propagation,hydraulic fracture",8.763367,8.724347,"10.44825,2.8863623 9.906388,2.9683976 9.753902,2.8806112 9.680119,2.6257124 9.706477,2.3084016 9.759468,2.1222258 9.84274,2.0031078 10.114355,1.6552552 10.176876,1.5948752 10.349544,1.8808773 10.438052,2.7581635"
37,37,"complex network,network topology",6.1978006,4.0886264,"10.024682,3.3182333 9.919067,3.11754 9.962867,3.0024629 9.973646,2.9859846 10.104693,3.135356 10.130828,3.254942 10.053797,3.314096"
38,38,"viscous dissipation,nanofluid flow",10.510828,9.011844,"10.534518,4.224278 10.630938,4.301708 10.300111,4.4642506 10.244219,4.4185843 10.253085,4.3683834"
39,39,"turbulent flow,unsteady flow",10.999485,8.579029,"9.784442,5.540765 9.717725,5.3766227 9.805535,5.2741494 9.828925,5.2476234 9.896174,5.354497 9.840236,5.4889517"
40,40,"nanofluid flow,hybrid nanofluid",10.817139,9.868447,"9.82747,-0.24018712 9.78796,-0.3034024 9.998239,-0.3121948 10.38328,-0.24597019 10.540857,-0.20638017 10.674825,-0.08519783 10.631833,-0.0224801 10.209936,0.18737188 10.180104,0.20040761"
41,41,"vector machine,parameter estimation",7.876225,6.963453,"9.712537,-0.7163171 9.600648,0.16705513 9.358494,0.041732844 9.330487,0.017506624 9.30905,-0.076022826 9.276558,-0.25356007 9.275636,-0.2853296 9.346814,-0.8095683 9.408981,-0.8789012 9.556809,-0.926915"
42,42,"gene expression,gene",6.365215,7.6748266,"9.668432,0.48919144 9.632895,0.22908048 9.637543,0.19153246 9.652744,0.09732493 9.784686,0.056080732 9.825626,0.08834268 9.845772,0.1474595 9.831625,0.23073532 9.77016,0.39736223 9.755434,0.4354885"
43,43,"vegetation index,precipitation",7.3435073,7.812216,"9.1963415,0.54650265 8.991075,0.48473284 8.946899,0.45001572 8.94218,0.3473993 9.303442,0.26028004 9.401179,0.24558926 9.528492,0.32836238 9.596424,0.41748664 9.509204,0.48934513"
44,44,"symbolic computation,computational complexity",7.9209347,2.870494,"8.800058,6.137895 9.384663,5.5855885 9.685827,5.7509537 9.700977,5.8431425 9.418801,6.10371 9.375291,6.124275 9.27216,6.168585 9.179267,6.199638 8.870448,6.1976824"
45,45,"option pricing,financial market",5.2062826,5.963493,"9.337728,4.890351 9.165211,4.8636036 9.214923,4.713556 9.372297,4.714865"
46,46,"galerkin method,numerical simulation",9.968949,7.432451,"8.723291,5.184888 8.709353,5.067417 8.9696665,4.899469 8.985432,5.0018005 8.86906,5.1243153"
47,47,"set theoretic,axiom",8.546883,-0.2859309,"9.406305,5.272744 9.403337,5.5237823 9.308376,5.5147142 9.099948,5.333366 9.078029,5.2895007 9.021421,5.1522017 9.33634,5.2094393"
48,48,"fuzzy set,intuitionistic fuzzy",5.786742,5.2528806,"8.267238,5.3380914 8.206787,5.2135367 8.454629,5.295172 8.614489,5.3727064 8.643101,5.391474 8.763028,5.4973264 8.712323,5.5442967 8.674972,5.567153 8.625719,5.5601535 8.504453,5.497391"
49,49,"epidemic model,covid outbreak",5.252043,8.524838,"6.8899517,4.5486407 7.1194105,4.3863697 7.235999,4.512963 7.1694884,4.735405 7.0728283,4.9276385 6.976554,5.0623565 6.9036436,4.674038"
50,50,"path planning,unconstrained optimization",7.902182,5.541625,"8.030989,5.108896 7.7530165,5.2055764 7.629218,4.8470645 7.627286,4.778068 7.63784,4.6886306 7.673541,4.6768923 7.7448773,4.657599 7.8014317,4.714372 7.962093,4.890322 7.9896836,4.9629087"
51,51,"stochastic differential,stochastic",9.525162,4.0992494,"5.994895,6.44534 6.4563007,6.533011 5.998014,7.0708365 5.620433,7.474138 5.5379896,7.512603 5.4402537,7.4814615 5.4346843,7.443254 5.612795,6.6926203 5.71901,6.6060786 5.925036,6.4611793"
52,52,"convection diffusion,viscous dissipation",11.048074,9.564586,"7.493439,7.655566 7.483639,7.8471847 7.354142,7.9294195 7.323756,7.938877 7.208089,7.916884 7.0941358,7.6517706 7.185973,7.6223946 7.3946657,7.612978 7.4844823,7.64578"
53,53,"iterative method,toeplitz matrix",9.246782,5.300019,"12.518651,4.801761 12.611374,4.4115043 12.638458,4.3773985 12.728813,4.28903 12.818244,4.256495 13.076008,4.4825497 13.208873,4.651043 13.36269,5.0263143 13.375346,5.1135273 13.371175,5.121764 13.237366,5.249561 12.732023,5.165925 12.70154,5.1524277 12.525102,4.9356685"
54,54,"prediction accuracy,neural network",7.3636093,7.18393,"11.206675,8.213852 11.364127,8.109395 11.382371,8.118241 11.359508,8.152717 11.291817,8.242016 11.268744,8.263285 11.240581,8.259832"
55,55,"structural electronic,semiconductor",8.896812,10.484943,"7.690833,5.6748085 7.6698227,5.4232383 7.9221263,5.5544677 7.9611683,5.655572 7.9589887,5.7015867 7.8886123,5.745789 7.881058,5.746687"
56,56,"biodiesel production,biodiesel",8.037228,9.643682,"5.3716445,4.841906 5.5272493,4.9608355 5.5233216,5.0699654 5.4768414,5.0800953 5.2605095,5.091758 5.2119026,5.0692525 5.2275624,5.0330596 5.287371,4.919122"
57,57,"iot,internet of things",6.9947586,4.695072,"10.942011,3.458987 11.025794,3.3500106 11.726698,3.75141 11.830899,3.9050145 11.8074465,3.9682996 11.597075,4.191666 11.563153,4.213286 11.412791,4.206685 11.367076,4.193638 11.3460455,4.1588674 10.965925,3.514333"
58,58,"numerical integration,fredholm integral",10.331901,6.316477,"8.345106,7.1802154 8.393462,7.312963 8.247795,7.276748 8.173546,7.244837 8.118611,7.204415 8.14503,7.1806445 8.175341,7.1663833 8.247575,7.1443295"
59,59,"carbon nanotube,nanoparticles",8.36028,10.061411,"10.789487,8.42994 11.020789,8.382217 11.12106,8.425786 11.131309,8.496106 11.113585,8.574194 10.974752,8.716135 10.916657,8.733162 10.837466,8.690394 10.789488,8.507851"
60,60,"chromatic number,edge coloring",5.7461348,1.4761995,"7.1074753,7.19867 7.195615,6.9468017 7.5337114,7.0007915 7.3604746,7.2460647 7.2388926,7.328709 7.153112,7.32007"
61,61,"levy process,markov process",9.101838,3.7310984,"7.6300306,6.9994755 7.574426,6.8004546 7.6213765,6.7108207 7.772274,6.691381 7.782984,6.698957 8.023564,6.970733 8.020801,7.009724 7.983288,7.0346627 7.7238626,7.1002316 7.691984,7.0804663"
62,62,"cognitive development,early childhood",2.7858012,8.038982,"12.376983,5.7866898 12.276861,5.6500497 12.388174,5.7045984 12.409721,5.715206 12.425254,5.742827 12.45079,5.7910914 12.467009,5.852093"
63,63,"fractional differential,fractional derivative",10.790545,5.3522754,"8.743058,9.049404 8.743133,9.226598 8.727817,9.295523 8.63685,9.41113 8.565899,9.469033 8.470659,9.545063 8.425621,9.4637375 8.5960245,9.183574 8.675195,9.108919"
64,64,"combinatorial,lattice",7.586295,1.8589473,"11.898338,4.7188487 11.824772,4.9831 11.66422,4.9668274 11.61892,4.950408 11.535738,4.8549542 11.515893,4.8131475 11.465515,4.690859 11.648006,4.578781"
65,65,"game theory,game theoretic",5.266473,4.9722404,"12.283206,5.2509 12.231488,5.532985 12.004267,5.65851 11.8976345,5.616534 11.801177,5.5551653 11.801507,5.152034 11.82462,5.0360956 11.855024,5.043765 12.269697,5.217089"
66,66,"unconstrained optimization,convex optimization",8.84364,5.048516,"10.289162,8.979301 10.39151,8.84436 10.597604,8.8973875 10.697908,9.07749 10.757169,9.231952 10.490265,9.132791 10.292553,9.046143"
67,67,"consumer,motivational factor",4.2870283,6.567628,"8.104395,9.7718115 7.952643,9.682434 7.98915,9.609204 8.04859,9.491858 8.125165,9.4529915 8.241294,9.558062 8.254425,9.6927805"
68,68,"cognitive ability,math anxiety",2.052982,8.443421,"8.596197,10.188106 8.398831,10.187697 8.280225,9.972281 8.274766,9.808919 8.503294,9.919476 8.55168,10.039711"
69,69,"reaction diffusion,combustion",8.495141,9.388495,"5.9517283,5.1454926 6.0423794,5.2344165 6.033714,5.3821154 5.9734206,5.4841743 5.9456067,5.515861 5.860574,5.55057 5.830513,5.530528 5.767528,5.4872603 5.7697096,5.2711873 5.7720222,5.25137 5.783374,5.2029963 5.8206697,5.0901 5.8780575,5.081801"
70,70,"image encryption,chaotic map",7.733892,4.7143455,"5.7013893,5.7310796 6.450573,4.8360143 6.5381994,4.8610587 6.6342635,4.9653006 6.6608562,5.008864 6.8725977,5.363828 6.870382,5.4029984 6.5873246,5.8187904 5.9586625,6.057961 5.8721976,6.0843625 5.812268,6.0758004 5.7674985,5.975457"
71,71,"type inequality,integral inequality",10.003284,3.2830904,"10.872741,4.9356613 10.723353,4.6526523 10.763781,4.436043 10.954814,4.3201547 10.952625,4.413717"
72,72,"galerkin method,numerical scheme",10.909782,6.860882,"10.823449,5.089389 10.904633,5.1305876 10.872297,5.299291 10.84156,5.426176 10.766198,5.394781 10.715924,5.343857 10.692184,5.1917477 10.757878,5.117751"
73,73,"piezoelectric,linear elastic",9.6268835,8.230519,"10.603211,5.8870044 10.60928,5.7950664 10.929097,5.5044217 11.017487,5.558455 11.063054,5.635912 11.167784,5.9292817 11.181491,6.1928034 11.169268,6.3189054 11.094843,6.3511105 11.075016,6.3481174 10.765052,6.145649"
74,74,"celestial amplitude,spectroscopy",8.19737,7.175967,"11.076559,9.485888 10.992774,9.639352 10.961053,9.597238 10.869269,9.297111 11.009307,9.371964"
75,75,"mental health,adjustment disorder",3.5771365,7.832421,"10.614632,9.869061 10.7493515,9.735243 10.779185,9.718392 10.901126,9.723492 10.920006,9.823139 10.90695,9.86124 10.845996,9.895226 10.735177,9.932303 10.681769,9.939536 10.643713,9.922935"
76,76,"neck pain,knee",4.1618824,7.93117,"6.5683255,6.523563 6.6859894,6.150204 6.8821106,5.91137 6.960833,5.905114 7.0876207,6.4301963 7.0907416,6.481994 7.0691633,6.736216 6.910857,6.897758 6.790428,6.9664607 6.579294,6.6839514 6.5754614,6.6736407"
77,77,"convex optimization,variational formulation",9.278076,4.78637,"7.1236567,6.6117625 7.126222,6.32683 7.632083,5.935558 7.6819677,6.160424 7.68434,6.1985493 7.6463733,6.3083234 7.2407165,6.722078 7.1985884,6.705229"
78,78,"reinforced concrete,tensile strength",8.901787,8.353548,"10.405607,6.250212 10.543275,6.3836517 10.460405,6.433674 10.320016,6.4648643 10.258923,6.3802466 10.244773,6.236594 10.33163,6.2252"
79,79,"linear code,encode",7.7184443,0.8677793,"10.088508,7.3769836 9.935752,7.6156754 9.852543,7.542945 9.789698,7.44168 9.863397,7.3560643 9.92968,7.3246794 9.985231,7.313817 10.037851,7.31155"
80,80,"acoustic wave,elastic modulus",9.826597,7.943422,"9.324698,8.105618 9.046848,7.97906 8.991293,7.8924217 8.956893,7.7798924 9.028002,7.748352 9.200776,7.798138 9.376011,7.8919225 9.463493,7.963604 9.480302,8.054781 9.433382,8.094302 9.410898,8.102971"
81,81,"fractional differential,fractional diffusion",5.5627165,9.383766,"10.805315,6.936122 10.710408,6.690068 10.828886,6.7156596 10.900177,6.7991343 10.8954735,6.86321"
82,82,"ecological,vegetation",7.0735736,8.657231,"10.156854,7.0744367 10.473748,6.67268 10.490878,6.672788 10.574631,6.7081237 11.09902,7.541385 11.116685,7.603461 11.121716,7.642565 11.095282,7.6654563 10.606579,7.7837925 10.5299015,7.7303557 10.400131,7.631015 10.266488,7.393364 10.208425,7.232023"
83,83,"video game,digital game",1.4557703,7.121962,"9.881436,7.9739356 9.822414,8.079747 9.775574,8.048428 9.740441,8.0040245 9.749868,7.8467436 9.84347,7.8196282 9.871506,7.887363 9.879831,7.933864"
84,84,"transitive graph,cayley graph",6.99003,1.304917,"9.27193,10.191195 9.037338,10.181463 9.278644,9.551695 9.341243,9.494431 9.472383,9.518685 9.480892,9.623432 9.4819355,9.845041"
85,85,"scaling the turbulence,turbulence",11.354205,8.173277,"8.896845,10.272913 9.004238,10.238123 9.0431595,10.260527 9.071093,10.399282 9.031061,10.4505005 8.957978,10.482023 8.879558,10.491195 8.860526,10.490465 8.782802,10.452261 8.813442,10.36287"
86,86,"sediment,fossil fuel",7.634185,8.546119,"9.660608,8.14904 9.6915,8.327281 9.619094,8.429657 9.558675,8.403256 9.538742,8.366661 9.521503,8.279356 9.583608,8.152941"
87,87,"iterative method,iterative scheme",9.840903,5.3819356,"9.827485,8.619184 9.770407,8.912317 9.596818,9.128882 9.282559,9.349375 9.249197,9.347642 9.15763,9.323077 9.135722,8.987934 9.1199255,8.625767 9.204013,8.556689 9.7888,8.548328"
88,88,"mhd equation,mhd flow",12.431932,5.781641,"8.870412,8.438551 8.938344,8.274738 8.995102,8.287114 9.016842,8.362044 9.007991,8.377647 8.983634,8.407077"
89,89,"orbit,periodic orbit",10.482515,4.304873,"8.733439,8.650794 8.811557,8.470094 9.018766,8.573419 9.05904,8.687944 8.969126,8.770161 8.885996,8.817908 8.779255,8.74048"
